Data_Point,Date_Time,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Voltage(V),Current(A),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
1,"08-24-2018 10:22:01,942","10,0023","10,0023",1,1,"3,14712476730347",0,0,0,0,0,,,"-1,62124633789063E-05",,"34,572078704834","34,6911392211914"
2,"08-24-2018 10:22:11,944","20,0038","20,0038",1,1,"3,14709901809692",0,0,0,0,0,,,"8,58306884765625E-06",,"34,5623435974121","34,5981407165527"
3,"08-24-2018 10:22:21,941","30,0008","30,0008",1,1,"3,14712762832642",0,0,0,0,0,,,"0,0000152587890625",,"34,519962310791","34,5651817321777"
4,"08-24-2018 10:22:31,944","40,0044","40,0044",1,1,"3,14710474014282",0,0,0,0,0,,,"9,5367431640625E-07",,"34,541919708252","34,6338195800781"
5,"08-24-2018 10:22:41,941","50,0013","50,0013",1,1,"3,14712762832642",0,0,0,0,0,,,"-1,33514404296875E-05",,"34,5126307556268","34,5984497070313"
6,"08-24-2018 10:22:51,942","60,0024","60,0024",1,1,"3,14712953567505",0,0,0,0,0,,,"-3,24249267578125E-05",,"34,5479965209961","34,6268081665039"
7,"08-24-2018 10:22:51,949","60,0095","60,0095",1,1,"3,14713144302368",0,0,0,0,0,,,"-3,02449668326029E-05",,"34,5479803592446","34,6273991204478"
8,"08-24-2018 10:22:52,045","60,1049","0,0035",2,1,"3,2423300743103","1,49941253662109",0,0,0,0,,,"-9,5367431640625E-07",,"34,5477631999355","34,6353395438633"
9,"08-24-2018 10:22:52,594","60,6544","0,553",2,1,"3,25235986709595","1,49988555908203","0,000228587390020332",0,"0,000744344059175121",0,,,"0,000679810521423176",,"34,5465123714207","34,68108"
10,"08-24-2018 10:22:55,021","63,0809","2,9795",2,1,"3,26237726211548","1,49996566772461","0,00123799103312194",0,"0,00403124280273914",0,,,"0,00368595123291016",,"34,54099","34,6858456521939"
11,"08-24-2018 10:22:58,351","66,4113","6,3099",2,1,"3,2723822593689","1,50002479553223","0,00262757297605276",0,"0,00857174303382635",0,,,"0,0029449462890625",,"34,5391971461182","34,6971522184889"
12,"08-24-2018 10:23:02,124","70,1842","10,0828",2,1,"3,2823920249939","1,50000190734863","0,00419942056760192",0,"0,0137234460562468",0,,,"0,00268650054931641",,"34,582466110336","34,6617489515484"
13,"08-24-2018 10:23:06,240","74,2996","14,1982",2,1,"3,29240846633911","1,49996948242188","0,0059109958820045",0,"0,0193501599133015",0,,,"0,00242805480957031",,"34,5553398132324","34,6328849792481"
14,"08-24-2018 10:23:10,720","78,7805","18,6791",2,1,"3,30241346359253","1,50002670288086","0,0077800452709198",0,"0,0255132485181093",0,,,"0,00223541259765625",,"34,5169105529785","34,6088180541992"
15,"08-24-2018 10:23:15,529","83,5886","23,4872",2,1,"3,31241750717163","1,50003051757813","0,00978427194058895",0,"0,0321421623229981",0,,,"0,00212287902832031",,"34,5431474950894","34,5984499226701"
16,"08-24-2018 10:23:20,659","88,7191","28,6177",2,1,"3,32243394851685","1,50004196166992","0,0119187003001571",0,"0,0392230525612831",0,,,"0,00195693969726563",,"34,5102310180664","34,6051330566406"
17,"08-24-2018 10:23:26,113","94,1728","34,0714",2,1,"3,33243799209595","1,50003433227539","0,0141928549855948",0,"0,0467902310192585",0,,,"0,00187206268310547",,"34,5154457092285","34,5996551513672"
