Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s)
1,"10,0037","05-07-2018 11:37:21,269","10,0037",1,1,0,"3,21629905700684",0,0,0,0,,,"4,10079956054688E-05",
2,"20,0046","05-07-2018 11:37:31,270","20,0046",1,1,0,"3,21633338928223",0,0,0,0,,,"5,43594360351563E-05",
3,"30,0015","05-07-2018 11:37:41,267","30,0015",1,1,0,"3,21630382537842",0,0,0,0,,,"-4,76837158203125E-05",
4,"40,0034","05-07-2018 11:37:51,269","40,0034",1,1,0,"3,21630191802979",0,0,0,0,,,"6,67572021484375E-06",
5,"50,0039","05-07-2018 11:38:01,270","50,0039",1,1,0,"3,21630764007568",0,0,0,0,,,"2,86102294921875E-05",
6,"60,0024","05-07-2018 11:38:11,268","60,0024",1,1,0,"3,2163257598877",0,0,0,0,,,"-0,000125284117987572",
7,"60,1034","05-07-2018 11:38:11,369","0,0084",2,1,"1,49976348876953","3,33622360229492",0,0,0,0,,,"-0,000126838684082031",
8,"60,6792","05-07-2018 11:38:11,945","0,5842",2,1,"1,50011253356934","3,34623146057129","0,000240247835318144",0,"0,000804942831261044",0,,,"0,00031470780186398",
9,"63,8393","05-07-2018 11:38:15,105","3,7443",2,1,"1,50008964538574","3,35623741149902","0,00155877368524671",0,"0,0052226223051548",0,,,"0,00273799896240234",
10,"68,2379","05-07-2018 11:38:19,503","8,1429",2,1,"1,50010871887207","3,36624908447266","0,00338581344112754",0,"0,0113640613853931",0,,,"0,00221157073974609",
11,"73,3403","05-07-2018 11:38:24,606","13,2453",2,1,"1,50011825561523","3,37626266479492","0,00551300263032317",0,"0,018535515293479",0,,,"0,00194549560546875",
12,"79,0027","05-07-2018 11:38:30,268","18,9077",2,1,"1,5001220703125","3,3862829208374","0,00787516590207815",0,"0,0265227667987347",0,,,"0,00174903869628906",
13,"85,2277","05-07-2018 11:38:36,493","25,1327",2,1,"1,5001106262207","3,39628982543945","0,0104707516729832",0,"0,0353253036737442",0,,,"0,00160980224609375",
14,"91,9888","05-07-2018 11:38:43,254","31,8938",2,1,"1,50008773803711","3,40629482269287","0,0132868885993958",0,"0,0449040308594704",0,,,"0,00143051147460938",
15,"99,2113","05-07-2018 11:38:50,477","39,1163",2,1,"1,50007247924805","3,41630172729492","0,0162943489849567",0,"0,0551635809242725",0,,,"0,00142860412597656",
16,"106,9588","05-07-2018 11:38:58,224","46,8638",2,1,"1,50010108947754","3,42631244659424","0,0195214599370956",0,"0,066204659640789",0,,,"0,00126457214355469",
17,"115,1295","05-07-2018 11:39:06,395","55,0345",2,1,"1,5001106262207","3,43631649017334","0,0229232478886843",0,"0,0778774097561836",0,,,"0,00120162963867188",
18,"123,8346","05-07-2018 11:39:15,100","63,7396",2,1,"1,50008010864258","3,44631862640381","0,0265544820576906",0,"0,0903737992048264",0,,,"0,00116825103759766",
19,"132,9065","05-07-2018 11:39:24,172","72,8115",2,1,"1,50010871887207","3,45632743835449","0,0303314737975597",0,"0,103409558534622",0,,,"0,00111007690429688",
20,"142,5531","05-07-2018 11:39:33,819","82,4581",2,1,"1,50008392333984","3,46633243560791","0,0343529172241688",0,"0,117329239845276",0,,,"0,00104427337646484",
21,"152,556","05-07-2018 11:39:43,822","92,461",2,1,"1,50008773803711","3,47610473632813","0,0385228805243969",0,"0,131804242730141",0,,,"0,00100326538085938",
22,"162,5577","05-07-2018 11:39:53,823","102,4627",2,1,"1,50011444091797","3,48535060882568","0,0426870845258236",0,"0,14629890024662",0,,,"0,000942230224609375",
23,"172,5598","05-07-2018 11:40:03,825","112,4648",2,1,"1,50010681152344","3,49403095245361","0,0468590036034584",0,"0,160857826471329",0,,,"0,000897407531738281",
24,"182,5645","05-07-2018 11:40:13,830","122,4695",2,1,"1,50009918212891","3,50212955474854","0,0510263554751873",0,"0,175435841083527",0,,,"0,000774383544921875",
25,"192,568","05-07-2018 11:40:23,834","132,473",2,1,"1,5001220703125","3,50919151306152","0,0551946125924587",0,"0,190048784017563",0,,,"0,000683784484863281",
26,"202,5692","05-07-2018 11:40:33,835","142,4742",2,1,"1,5001106262207","3,51495933532715","0,059363778680563",0,"0,204691767692566",0,,,"0,000518798828125",
27,"212,5735","05-07-2018 11:40:43,839","152,4785",2,1,"1,5001220703125","3,51945018768311","0,0635281503200531",0,"0,219339117407799",0,,,"0,000412940979003906",
28,"222,5768","05-07-2018 11:40:53,842","162,4818",2,1,"1,5001049041748","3,52320671081543","0,0676963105797768",0,"0,234016835689545",0,,,"0,000379562377929688",
29,"232,5779","05-07-2018 11:41:03,844","172,4829",2,1,"1,50009346008301","3,52669906616211","0,0718663781881332",0,"0,248716175556183",0,,,"0,0003662109375",
30,"242,5823","05-07-2018 11:41:13,848","182,4873",2,1,"1,50013160705566","3,5301685333252","0,0760351419448853",0,"0,263425439596176",0,,,"0,000330924987792969",
31,"252,5847","05-07-2018 11:41:23,850","192,4897",2,1,"1,50009155273438","3,53384304046631","0,0802034735679627",0,"0,278147995471954",0,,,"0,00042724609375",
32,"262,5858","05-07-2018 11:41:33,851","202,4908",2,1,"1,50007629394531","3,53749942779541","0,0843657106161118",0,"0,292864292860031",0,,,"0,000346183776855469",
33,"272,5894","05-07-2018 11:41:43,855","212,4944",2,1,"1,50011444091797","3,54122066497803","0,0885346159338951",0,"0,307619482278824",0,,,"0,000424385070800781",
34,"282,5904","05-07-2018 11:41:53,856","222,4954",2,1,"1,50009346008301","3,54492855072022","0,0927038788795471",0,"0,322391450405121",0,,,"0,000391006469726563",
35,"292,5939","05-07-2018 11:42:03,859","232,4989",2,1,"1,50008583068848","3,5487117767334","0,0968707278370857",0,"0,337170571088791",0,,,"0,000383377075195313",
36,"302,595","05-07-2018 11:42:13,861","242,5",2,1,"1,50009727478027","3,5523624420166","0,101037167012692",0,"0,351963758468628",0,,,"0,000359535217285156",
37,"312,595","05-07-2018 11:42:23,861","252,5",2,1,"1,50009727478027","3,55602931976318","0,105205908417702",0,"0,366780400276184",0,,,"0,000363349914550781",
38,"322,5972","05-07-2018 11:42:33,863","262,5022",2,1,"1,50009727478027","3,55966854095459","0,109371714293957",0,"0,381601721048355",0,,,"0,000371932983398438",
39,"332,6011","05-07-2018 11:42:43,867","272,5061",2,1,"1,50007057189941","3,56323909759522","0,113541908562183",0,"0,396453768014908",0,,,"0,000354766845703125",
40,"342,6031","05-07-2018 11:42:53,869","282,5081",2,1,"1,50012397766113","3,56674385070801","0,117711335420609",0,"0,411317855119705",0,,,"0,000372886657714844",
41,"352,6049","05-07-2018 11:43:03,870","292,5099",2,1,"1,50012397766113","3,57011127471924","0,121878832578659",0,"0,426189482212067",0,,,"0,000319480895996094",
42,"362,6058","05-07-2018 11:43:13,871","302,5108",2,1,"1,50006675720215","3,57315349578857","0,126044780015945",0,"0,441068828105927",0,,,"0,000280380249023438",
43,"372,6086","05-07-2018 11:43:23,874","312,5136",2,1,"1,50009155273438","3,57577228546143","0,130213469266891",0,"0,455969780683517",0,,,"0,000284194946289063",
44,"382,6123","05-07-2018 11:43:33,878","322,5173",2,1,"1,50009918212891","3,5780086517334","0,134379431605339",0,"0,470871061086655",0,,,"0,000239372253417969",
