Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
1,"10,0075","06-05-2018 13:10:01,523","10,0075",1,1,0,"3,18797302246094",0,0,0,0,,,"-2,47955322265625E-05",,"34,3642387390137","34,7932434082031"
2,"20,0035","06-05-2018 13:10:11,519","20,0035",1,1,0,"3,18798542022705",0,0,0,0,,,"9,5367431640625E-06",,"34,3824577331543","34,8677444458008"
3,"30,0005","06-05-2018 13:10:21,516","30,0005",1,1,0,"3,18796730041504",0,0,0,0,,,"1,71661376953125E-05",,"34,4013977050781","34,862419128418"
4,"40,0019","06-05-2018 13:10:31,518","40,0019",1,1,0,"3,18796062469482",0,0,0,0,,,"3,24249267578125E-05",,"34,3995208740234","34,808406829834"
5,"50,0067","06-05-2018 13:10:41,522","50,0067",1,1,0,"3,18796062469482",0,0,0,0,,,"6,29425048828125E-05",,"34,415885925293","34,8107223510742"
6,"60,006","06-05-2018 13:10:51,522","60,006",1,1,0,"3,18796348571777",0,0,0,0,,,"-3,71932983398438E-05",,"34,4817733764648","34,8927459716797"
7,"60,0137","06-05-2018 13:10:51,529","60,0137",1,1,0,"3,18795776367188",0,0,0,0,,,"-2,5858481725057E-05",,"34,4817060396755","34,8923154593205"
8,"60,1116","06-05-2018 13:10:51,627","0,009",2,1,"1,49990653991699","3,31010246276855","3,66643712368386E-06",0,"1,21362827485427E-05",0,,,"0,000118255615234375",,"34,4808499004967","34,8868418021824"
9,"60,6011","06-05-2018 13:10:52,117","0,4985",2,1,"1,50000953674316","3,32013416290283","0,000195463755517267",0,"0,000648423854727298",0,,,"0,131559371948242",,"34,4765692046027","34,8535693469946"
10,"63,4499","06-05-2018 13:10:54,965","3,3473",2,1,"1,5000171661377","3,33015155792236","0,00138305511791259",0,"0,00459793396294117",0,,,"0,00314998626708984",,"34,45166","34,8838729858398"
11,"67,4747","06-05-2018 13:10:58,990","7,3721",2,1,"1,50000762939453","3,34015560150147","0,00306047056801617",0,"0,0101925926283002",0,,,"0,00243282318115234",,"34,4698753356934","34,8962097167969"
12,"72,0723","06-05-2018 13:11:03,588","11,9697",2,1,"1,50002098083496","3,35017967224121","0,00498571200296283",0,"0,0166329927742481",0,,,"0,00220012664794922",,"34,4712371826172","34,8167762756348"
13,"77,1667","06-05-2018 13:11:08,682","17,0641",2,1,"1,49999237060547","3,36020660400391","0,00709782121703029",0,"0,0237197522073984",0,,,"0,00198173522949219",,"34,4721908569336","34,7929458618164"
14,"82,7388","06-05-2018 13:11:14,254","22,6362",2,1,"1,50000381469727","3,37021446228027","0,00942452438175678",0,"0,0315497405827045",0,,,"0,00182819366455078",,"34,474308013916","34,7714920043945"
15,"88,7011","06-05-2018 13:11:20,217","28,5985",2,1,"1,5000171661377","3,38022613525391","0,011904489248991",0,"0,0399202555418015",0,,,"0,00171375274658203",,"34,4759292330627","34,8459879778447"
16,"95,0076","06-05-2018 13:11:26,523","34,905",2,1,"1,5000114440918","3,39022731781006","0,0145343486219645",0,"0,0488229356706142",0,,,"0,00167751312255859",,"34,448844909668","34,8249588012695"
17,"101,7235","06-05-2018 13:11:33,239","41,6209",2,1,"1,50000953674316","3,40024948120117","0,0173186734318733",0,"0,058276429772377",0,,,"0,00150299072265625",,"34,4158864160462","34,8097650882955"
18,"108,8715","06-05-2018 13:11:40,387","48,7689",2,1,"1,5000114440918","3,41026592254639","0,0203079581260681",0,"0,068455807864666",0,,,"0,00142478942871094",,"34,4661102294922","34,8891983032227"
19,"116,3882","06-05-2018 13:11:47,904","56,2856",2,1,"1,50000190734863","3,42027378082275","0,0234509222209454",0,"0,0791900530457497",0,,,"0,00135517120361328",,"34,4743079048565","34,8039245605469"
20,"124,3443","06-05-2018 13:11:55,860","64,2417",2,1,"1,5000057220459","3,43028163909912","0,0267559476196766",0,"0,0905108526349068",0,,,"0,00132083892822266",,"34,5186722764342","34,8025703430176"
21,"132,7451","06-05-2018 13:12:04,261","72,6425",2,1,"1,49999046325684","3,44029140472412","0,0302657894790173",0,"0,102568328380585",0,,,"0,00124454498291016",,"34,4523277282715","34,7466583251953"
22,"141,6396","06-05-2018 13:12:13,155","81,537",2,1,"1,5000171661377","3,45029354095459","0,0339703932404518",0,"0,115331843495369",0,,,"0,00114059448242188",,"34,4976501464844","34,837085723877"
23,"150,8884","06-05-2018 13:12:22,404","90,7858",2,1,"1,50000953674316","3,46030616760254","0,0378264077007771",0,"0,128655686974525",0,,,"0,00106334686279297",,"34,4121475219727","34,7688674926758"
24,"160,7723","06-05-2018 13:12:32,288","100,6697",2,1,"1,50002861022949","3,47031116485596","0,0419431664049625",0,"0,142921730875969",0,,,"0,00103092193603516",,"34,4224280270909","34,7700195195944"
25,"170,7777","06-05-2018 13:12:42,293","110,6751",2,1,"1,50000190734863","3,47988224029541","0,0461118668317795",0,"0,157408535480499",0,,,"0,000942230224609375",,"34,4544063146551","34,8109359741211"
26,"180,7839","06-05-2018 13:12:52,300","120,6813",2,1,"1,50002098083496","3,48901844024658","0,0502786487340927",0,"0,171927690505981",0,,,"0,000856399536132813",,"34,4474029541016","34,8354110717773"
27,"190,7883","06-05-2018 13:13:02,304","130,6857",2,1,"1,50003051757813","3,49747943878174","0,054449338465929",0,"0,186497241258621",0,,,"0,000845909118652344",,"34,4574775695801","34,8179473876953"
28,"200,7921","06-05-2018 13:13:12,308","140,6895",2,1,"1,49996566772461","3,50519180297852","0,0586160719394684",0,"0,201086595654488",0,,,"0,000741958618164063",,"34,4684294559524","34,8653483420885"
29,"210,7941","06-05-2018 13:13:22,310","150,6915",2,1,"1,49998664855957","3,51205062866211","0,0627827718853951",0,"0,215706288814545",0,,,"0,000697135925292969",,"34,4677391052246","34,8412704467773"
30,"220,7984","06-05-2018 13:13:32,314","160,6958",2,1,"1,50001525878906","3,51791763305664","0,0669515505433083",0,"0,230359733104706",0,,,"0,000593185424804688",,"34,4759407043457","34,813232421875"
31,"230,7995","06-05-2018 13:13:42,315","170,6969",2,1,"1,4999828338623","3,52306461334229","0,0711170732975006",0,"0,245024636387825",0,,,"0,000574111938476563",,"34,4403877258301","34,8193092346191"
32,"240,8019","06-05-2018 13:13:52,317","180,6993",2,1,"1,5","3,52782821655273","0,0752871185541153",0,"0,25972592830658",0,,,"0,000467300415039063",,"34,4665791754042","34,8977890014648"
33,"250,8051","06-05-2018 13:14:02,321","190,7025",2,1,"1,49998092651367","3,53243350982666","0,0794522240757942",0,"0,274429321289063",0,,,"0,000449180603027344",,"34,5544269605287","34,8506088256836"
34,"260,8079","06-05-2018 13:14:12,323","200,7053",2,1,"1,49996566772461","3,5369930267334","0,083621047437191",0,"0,289164930582047",0,,,"0,000448226928710938",,"34,5310478210449","34,8627433776856"
35,"270,8118","06-05-2018 13:14:22,327","210,7092",2,1,"1,49998092651367","3,54145240783691","0,0877914354205132",0,"0,303924858570099",0,,,"0,000405311584472656",,"34,555118560791","34,8737525939941"
36,"280,8148","06-05-2018 13:14:32,330","220,7122",2,1,"1,49998664855957","3,54575538635254","0,091959074139595",0,"0,318693280220032",0,,,"0,000432014465332031",,"34,5875927539687","34,8148161104283"
37,"290,8157","06-05-2018 13:14:42,331","230,7131",2,1,"1,49999237060547","3,54996681213379","0,0961254686117172",0,"0,333475053310394",0,,,"0,000438690185546875",,"34,5714834484962","32,8386039733887"
38,"300,8211","06-05-2018 13:14:52,337","240,7185",2,1,"1,50000762939453","3,55401802062988","0,100291922688484",0,"0,348274111747742",0,,,"0,000425338745117188",,"33,1087036132813","33,4487686157227"
39,"310,8256","06-05-2018 13:15:02,341","250,723",2,1,"1,49995040893555","3,55907726287842","0,104462422430515",0,"0,363106608390808",0,,,"0,000103950500488281",,"32,4313803663773","31,8997421264648"
40,"320,832","06-05-2018 13:15:12,348","260,7294",2,1,"1,49996376037598","3,56241035461426","0,10863134264946",0,"0,37795028090477",0,,,"0,000367164611816406",,"31,5428047180176","32,1543121337891"
41,"330,8351","06-05-2018 13:15:22,351","270,7325",2,1,"1,49994468688965","3,56601905822754","0,112796410918236",0,"0,392795503139496",0,,,"0,000370025634765625",,"31,3448868510018","31,8997446713506"
42,"340,8374","06-05-2018 13:15:32,353","280,7348",2,1,"1,49995613098145","3,57009887695313","0,116964049637318",0,"0,407666772603989",0,,,"0,000266075134277344",,"30,7903232574463","31,9662742614746"
43,"350,839","06-05-2018 13:15:42,355","290,7364",2,1,"1,4999885559082","3,5751838684082","0,12112944573164",0,"0,422552287578583",0,,,"0,000279426574707031",,"30,6205883026123","32,2365341186523"
44,"360,8438","06-05-2018 13:15:52,359","300,7412",2,1,"1,50004005432129","3,57793998718262","0,125299111008644",0,"0,437465399503708",0,,,"0,000417709350585938",,"30,4990685211334","32,1869430541992"
45,"370,8438","06-05-2018 13:16:02,359","310,7412",2,1,"1,50003814697266","3,58297634124756","0,129468277096748",0,"0,452396541833878",0,,,"0,000161170959472656",,"30,5080024527892","32,2515678405762"
46,"380,8486","06-05-2018 13:16:12,364","320,746",2,1,"1,50000953674316","3,58475971221924","0,133632734417915",0,"0,467321485280991",0,,,"0,000172615051269531",,"30,7835083007813","32,2769203186035"
47,"390,8513","06-05-2018 13:16:22,367","330,7487",2,1,"1,49998664855957","3,58678436279297","0,137803852558136",0,"0,482278078794479",0,,,"0,0001983642578125",,"31,9532430055174","32,6392822265625"
48,"400,8555","06-05-2018 13:16:32,371","340,7529",2,1,"1,49997901916504","3,58860206604004","0,141971275210381",0,"0,49722945690155",0,,,"0,000200271606445313",,"33,2382888793945","34,3871192932129"
49,"410,856","06-05-2018 13:16:42,372","350,7534",2,1,"1,50000381469727","3,59009265899658","0,146138817071915",0,"0,512188196182251",0,,,"0,00014495849609375",,"33,7603187561035","34,6838722229004"
50,"420,8591","06-05-2018 13:16:52,375","360,7565",2,1,"1,5000057220459","3,59146499633789","0,150302588939667",0,"0,52713942527771",0,,,"0,000164031982421875",,"34,0798040876309","34,7680168151856"
51,"430,8664","06-05-2018 13:17:02,382","370,7638",2,1,"1,49998664855957","3,59277629852295","0,154473185539246",0,"0,542120754718781",0,,,"9,63211059570313E-05",,"34,212126984104","34,8170967102051"
52,"440,8728","06-05-2018 13:17:12,388","380,7702",2,1,"1,49996566772461","3,59399223327637","0,15863136947155",0,"0,557062685489655",0,,,"0,000144004821777344",,"34,4046974182129","34,8761940002441"
53,"450,8737","06-05-2018 13:17:22,389","390,7711",2,1,"1,49998664855957","3,59518909454346","0,162798136472702",0,"0,572040557861328",0,,,"7,53402709960938E-05",,"34,4366947789321","34,8170973011189"
54,"460,8793","06-05-2018 13:17:32,395","400,7767",2,1,"1,49992942810059","3,59636878967285","0,166973784565926",0,"0,587055325508118",0,,,"0,0001068115234375",,"34,4458308875725","34,7287368774414"
55,"470,8802","06-05-2018 13:17:42,396","410,7776",2,1,"1,49995422363281","3,59745216369629","0,171146482229233",0,"0,60206413269043",0,,,"8,7738037109375E-05",,"34,504020690918","34,8182525634766"
56,"480,8891","06-05-2018 13:17:52,405","420,7865",2,1,"1,49997711181641","3,59857845306397","0,175299197435379",0,"0,61700576543808",0,,,"0,00012969970703125",,"34,5360180518929","34,822452545166"
57,"490,8953","06-05-2018 13:18:02,411","430,7927",2,1,"1,49995803833008","3,59979152679443","0,179485961794853",0,"0,63207471370697",0,,,"0,000103950500488281",,"34,5332298278809","34,7266464233398"
58,"500,9036","06-05-2018 13:18:12,419","440,801",2,1,"1,49996757507324","3,60107040405273","0,183646813035011",0,"0,647055566310883",0,,,"0,000164985656738281",,"34,5773887634277","34,8266410827637"
59,"510,9058","06-05-2018 13:18:22,421","450,8032",2,1,"1,49997138977051","3,60236072540283","0,187817946076393",0,"0,662078738212585",0,,,"0,000149726867675781",,"34,6194343566895","34,7993011474609"
