Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
1,"10,002","07-12-2018 08:35:19,769","10,0021",1,1,0,"3,17098522186279",0,0,0,0,,,"2,86102294921875E-05",,"34,2392158508301","34,5716896057129"
2,"20,0007","07-12-2018 08:35:29,768","20,0008",1,1,0,"3,17094612121582",0,0,0,0,,,"-3,4332275390625E-05",,"34,264705657959","34,5955581665039"
3,"30,0013","07-12-2018 08:35:39,768","30,0014",1,1,0,"3,17097949981689",0,0,0,0,,,"1,81198120117188E-05",,"34,2212257385254","34,5366134643555"
4,"40,0003","07-12-2018 08:35:49,767","40,0004",1,1,0,"3,17094326019287",0,0,0,0,,,"1,23977661132813E-05",,"34,2445907592773","34,515567779541"
5,"50,0014","07-12-2018 08:35:59,768","50,0015",1,1,0,"3,17095565795898",0,0,0,0,,,"6,67572021484375E-06",,"34,2375756011497","34,5540996513448"
6,"60,002","07-12-2018 08:36:09,769","60,0021",1,1,0,"3,17101764678955",0,0,0,0,,,"4,48226928710938E-05",,"34,2436676025391","34,5089988708496"
7,"60,0047","07-12-2018 08:36:09,772","60,0048",1,1,0,"3,17101764678955",0,0,0,0,,,"4,60992885541312E-05",,"34,2436676025391","34,5089351453145"
8,"60,0968","07-12-2018 08:36:09,864","0,0026",2,1,"1,50011253356934","3,26831436157227",0,0,0,0,,,"8,96453857421875E-05",,"34,2436676025391","34,506761396506"
9,"60,3804","07-12-2018 08:36:10,147","0,2862",2,1,"1,50019264221191","3,27834606170654","0,000119011863716878",0,"0,000389705062843859",0,,,"0,107398986816406",,"34,2436676025391","34,5000678551152"
10,"62,6963","07-12-2018 08:36:12,463","2,6021",2,1,"1,49980163574219","3,28834915161133","0,0010825862409547",0,"0,00355410855263472",0,,,"0,00351810455322266",,"34,24367","34,44541"
11,"66,2114","07-12-2018 08:36:15,978","6,1172",2,1,"1,49983787536621","3,29834938049316","0,00254741939716041",0,"0,00837855972349644",0,,,"0,00269508361816406",,"34,2595425037703","34,4786274387964"
12,"70,2494","07-12-2018 08:36:20,016","10,1552",2,1,"1,49982643127441","3,30837821960449","0,00422818213701248",0,"0,0139308888465166",0,,,"0,00239849090576172",,"34,2427406311035","34,4746208190918"
13,"74,704","07-12-2018 08:36:24,471","14,6098",2,1,"1,49981498718262","3,31838989257813","0,00608437601476908",0,"0,0200813096016645",0,,,"0,00219154357910156",,"34,215382236475","34,5520154745043"
14,"79,5454","07-12-2018 08:36:29,312","19,4512",2,1,"1,49984169006348","3,32839393615723","0,00810079555958509",0,"0,0267828125506639",0,,,"0,00206756591796875",,"34,2537269592285","34,5459632873535"
15,"84,7694","07-12-2018 08:36:34,536","24,6752",2,1,"1,50012969970703","3,33839893341064","0,0102768847718835",0,"0,0340367406606674",0,,,"0,00185775756835938",,"34,2195860722404","34,562072445538"
16,"90,3779","07-12-2018 08:36:40,145","30,2837",2,1,"1,4998607635498","3,34840488433838","0,0126119172200561",0,"0,0418438464403153",0,,,"0,00174999237060547",,"34,2459985651623","34,5319292452103"
