Data_Point,Date_Time,Test_Time(s),Step_Time(s),Step_Index,Cycle_Index,Voltage(V),Current(A),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),Internal Resistance(Ohm),dV/dt(V/s),dI/dt(A/s),Aux_Temperature_1,Aux_Temperature_2
1,"08-06-2018 07:41:50,815","10,0012","10,0012",1,1,"3,12872171401978",0,0,0,0,0,,,"1,23977661132813E-05",,"34,1478233337402","34,6529884338379"
2,"08-06-2018 07:42:00,819","20,0049","20,0049",1,1,"3,12873983383179",0,0,0,0,0,,,"1,71661376953125E-05",,"34,2443466186523","34,7394599914551"
3,"08-06-2018 07:42:10,816","30,0016","30,0016",1,1,"3,12867975234985",0,0,0,0,0,,,"3,62396240234375E-05",,"34,24153902955","34,6410675048828"
4,"08-06-2018 07:42:20,821","40,0066","40,0066",1,1,"3,12871789932251",0,0,0,0,0,,,"7,62939453125E-06",,"34,2925071716309","34,6529884338379"
5,"08-06-2018 07:42:30,817","50,0029","50,0029",1,1,"3,12872743606567",0,0,0,0,0,,,"1,62124633789063E-05",,"34,2955474853516","34,6581077575684"
6,"08-06-2018 07:42:40,815","60,0008","60,0008",1,1,"3,12874269485474",0,0,0,0,0,,,"-2,86102294921875E-06",,"34,2878379821777","34,6410675048828"
7,"08-06-2018 07:42:40,829","60,0151","60,0151",1,1,"3,12875413894653",0,0,0,0,0,,,"-1,12056732177734E-05",,"34,2877543164744","34,6410675048828"
8,"08-06-2018 07:42:40,929","60,1152","0,0081",2,1,"3,33555173873901","1,49929809570313","3,12353677145438E-06",0,"1,04187183751492E-05",0,,,"-6,96182250976563E-05",,"34,287168656551","34,6410675048828"
9,"08-06-2018 07:42:47,411","66,597","6,4899",2,1,"3,34555292129517","1,5","0,00269476976245642",0,"0,00900206621736288",0,,,"0,00239372253417969",,"34,2485759493895","34,578670501709"
10,"08-06-2018 07:42:52,220","71,4058","11,2987",2,1,"3,3555588722229","1,50008010864258","0,00470349751412869",0,"0,0157320275902748",0,,,"0,00239181518554688",,"34,2205270636899","34,6590690612793"
11,"08-06-2018 07:42:56,889","76,0748","15,9677",2,1,"3,36556577682495","1,49999809265137","0,00664977170526981",0,"0,0222729369997978",0,,,"0,00211238861083984",,"34,2181777954102","34,601993560791"
12,"08-06-2018 07:43:02,062","81,2477","21,1406",2,1,"3,3755784034729","1,49998664855957","0,00880802981555462",0,"0,029547244310379",0,,,"0,00214958190917969",,"34,2476234436035","34,6008529663086"
